Preferred Label,Class ID,Parents,has part,Class ID2,,,,,,,,,,,
Wnt signalosome,GO:1990909,GO:0032991,GO:1990851,GO:1990909,,,,,,,,,,,
axonemal central pair,GO:0097540,GO:1990716|GO:0110165,GO:1990719,GO:0097540,,,,,,,,,,,
mitotic spindle assembly checkpoint MAD1-MAD2 complex,GO:1990728,GO:0005737|GO:0032991,GO:1990706,GO:1990728,,,,,,,,,,,
PYM-mago-Y14 complex,GO:1990509,GO:0032991,GO:1990501,GO:1990509,,,,,,,,,,,
mitotic checkpoint complex,GO:0033597,GO:0140513,GO:1990298,GO:0033597,,,,,,,,,,,
platelet-derived growth factor receptor-ligand complex,GO:1990270,GO:0098797,GO:1990265,GO:1990270,,,,,,,,,,,
SsuD-SsuE complex,GO:1990200,GO:0005829|GO:0032991,GO:1990202,GO:1990200,,,,,,,,,,,
cobalamin transport complex,GO:1990191,GO:0043190,GO:1990193,GO:1990191,,,,,,,,,,,
DnaB-DnaC complex,GO:1990100,GO:0032991|GO:1990077,GO:1990161,GO:1990100,,,,,,,,,,,
DnaB-DnaG complex,GO:1990156,GO:0033202|GO:1990098,GO:1990161,GO:1990156,,,,,,,,,,,
H-NS-Cnu complex,GO:0036411,GO:0017053,GO:1990121,GO:0036411,,,,,,,,,,,
H-NS-Hha complex,GO:0097495,GO:0005829|GO:0032991,GO:1990121,GO:0097495,,,,,,,,,,,
bacterial pre-replicative complex,GO:0036389,GO:0036387,GO:1990101,GO:0036389,,,,,,,,,,,
DnaA-DiaA complex,GO:1990102,GO:1990077,GO:1990101,GO:1990102,,,,,,,,,,,
DnaA-DnaB-DnaC complex,GO:1990157,GO:1990099,GO:1990100,GO:1990157,,,,,,,,,,,
DnaB-DnaC-DnaT-PriA-PriB complex,GO:1990158,GO:1990099,GO:1990100,GO:1990158,,,,,,,,,,,
DnaB-DnaC-DnaT-PriA-PriC complex,GO:1990159,GO:1990099,GO:1990100,GO:1990159,,,,,,,,,,,
DnaB-DnaC-Rep-PriC complex,GO:1990160,GO:1990099,GO:1990100,GO:1990160,,,,,,,,,,,
enzyme IIA-maltose transporter complex,GO:1990154,GO:0043190,GO:1990060,GO:1990154,,,,,,,,,,,
