,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,migrasome,mitochondrion,nucleus,omegasome,platelet dense tubular netw,TMEM240-body,vacuole
intracellular membrane-boun,1.0,0.049790544584081387,0.02091584158415838,0.03069306930693072,0.0012526096033402823,0.001808318264014508,0.002071823204419898,0.0007010656197420362,0.0004202269225381805,0.00014037057832683164,0.0,0.0001404494382022392,0.0001404494382022392
cis-Golgi network,0.049790544584081387,1.0,0.0265682656826568,0.040742088032011625,0.001159420289855051,0.0023108030040439598,0.007323943661971866,0.0011990407673860837,0.002393776181927043,0.0012077294685990392,0.0,0.0,0.000604960677555999
endoplasmic reticulum,0.02091584158415838,0.0265682656826568,1.0,0.13378574890935535,0.057945566286215944,0.04209621993127144,0.0160513643659711,0.0034965034965035446,0.00610820244328103,0.0017636684303351524,0.0008833922261484162,0.0,0.0008841732979664174
endoplasmic reticulum-Golgi,0.03069306930693072,0.040742088032011625,0.13378574890935535,1.0,0.012618296529968487,0.03858520900321538,0.02515243902439024,0.002450980392156854,0.001626016260162566,0.0016488046166529546,0.0008257638315442017,0.0008264462809917106,0.0008264462809917106
Golgi apparatus,0.0012526096033402823,0.001159420289855051,0.057945566286215944,0.012618296529968487,1.0,0.0821917808219178,0.0,0.010869565217391353,0.010309278350515427,0.0,0.0,0.0,0.0
intracellular vesicle,0.001808318264014508,0.0023108030040439598,0.04209621993127144,0.03858520900321538,0.0821917808219178,1.0,0.004587155963302725,0.010000000000000009,0.0,0.0,0.0,0.0,0.0
migrasome,0.002071823204419898,0.007323943661971866,0.0160513643659711,0.02515243902439024,0.0,0.004587155963302725,1.0,0.006535947712418277,0.01273885350318471,0.0,0.0,0.0,0.0
mitochondrion,0.0007010656197420362,0.0011990407673860837,0.0034965034965035446,0.002450980392156854,0.010869565217391353,0.010000000000000009,0.006535947712418277,1.0,0.025000000000000022,0.0,0.0,0.0,0.0
nucleus,0.0004202269225381805,0.002393776181927043,0.00610820244328103,0.001626016260162566,0.010309278350515427,0.0,0.01273885350318471,0.025000000000000022,1.0,0.0,0.0,0.0,0.0
omegasome,0.00014037057832683164,0.0012077294685990392,0.0017636684303351524,0.0016488046166529546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
platelet dense tubular netw,0.0,0.0,0.0008833922261484162,0.0008257638315442017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMEM240-body,0.0001404494382022392,0.0,0.0,0.0008264462809917106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vacuole,0.0001404494382022392,0.000604960677555999,0.0008841732979664174,0.0008264462809917106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
