organelle,cluster
ocelloid,1
acidocalcisome,1
anammoxosome,1
attachment organe,1
cis-Golgi network,2
endoplasmic reticulum,2
endoplasmic reticulum-Golgi intermediate compartment,2
endosperm protein body,1
ER body,1
exoneme,1
eyespot apparat,1
Golgi apparatus,2
hydrogenosome,1
intracellular vesicle,1
karyomere,1
methane-oxidizing organelle,1
microbody,1
microneme,1
mitochondrial derivative,1
mitochondrion,0
mitosome,1
mononeme,1
nucleomorph,1
nucleus,0
omegasome,1
pirellulosome,1
plastid,1
platelet dense tubular network,1
polyhydroxyalkanoate granule,1
subsynaptic reticulum,1
vacuole,1
