,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,migrasome,mitochondrion,nucleus,omegasome,platelet dense tubular netw,vacuole
intracellular membrane-boun,1.0000000000000027,0.05222420832394097,0.0,0.030045865107022736,0.0035597784633688502,0.018648380833889564,0.003274519927126273,0.0,0.002576378501020299,0.0,0.0,0.0
cis-Golgi network,0.05222420832394097,1.0,0.0,0.05479280690717143,0.007754035086653923,0.025849448101710793,0.007132674875181882,0.0,0.01122391716169123,0.0,0.0,0.018184824186332698
endoplasmic reticulum,0.0,0.0,1.0,0.0,0.0,0.02538365412834048,0.0,0.0,0.0,0.0,0.0,0.0
endoplasmic reticulum-Golgi,0.030045865107022736,0.05479280690717143,0.0,0.9999999999999999,0.06245520604640573,0.16996365821927864,0.01641440964103391,0.0,0.012914788441435343,0.0,0.0,0.02092434876593436
Golgi apparatus,0.0035597784633688502,0.007754035086653923,0.0,0.06245520604640573,0.9999999999999998,0.07576538541439334,0.2508726030021272,0.0,0.0,0.0,0.0,0.0
intracellular vesicle,0.018648380833889564,0.025849448101710793,0.02538365412834048,0.16996365821927864,0.07576538541439334,1.0,0.03982515314667636,0.0,0.00783356573256404,0.0,0.0,0.02538365412834048
migrasome,0.003274519927126273,0.007132674875181882,0.0,0.01641440964103391,0.2508726030021272,0.03982515314667636,0.9999999999999999,0.0,0.0,0.06933752452815364,0.0,0.0
mitochondrion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0
nucleus,0.002576378501020299,0.01122391716169123,0.0,0.012914788441435343,0.0,0.00783356573256404,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
omegasome,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.0,0.0,0.9999999999999998,0.0,0.0
platelet dense tubular netw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vacuole,0.0,0.018184824186332698,0.0,0.02092434876593436,0.0,0.02538365412834048,0.0,0.0,0.0,0.0,0.0,1.0
