,intracellular membrane-boun,cis-Golgi network,endoplasmic reticulum,endoplasmic reticulum-Golgi,Golgi apparatus,intracellular vesicle,migrasome,mitochondrion,nucleus,omegasome,platelet dense tubular netw,vacuole
intracellular membrane-boun,1.0,0.0522,0.0,0.03,0.0036,0.0186,0.0033,0.0,0.0026,0.0,0.0,0.0
cis-Golgi network,0.0522,1.0,0.0,0.0548,0.0078,0.0258,0.0071,0.0,0.0112,0.0,0.0,0.0182
endoplasmic reticulum,0.0,0.0,1.0,0.0,0.0,0.0254,0.0,0.0,0.0,0.0,0.0,0.0
endoplasmic reticulum-Golgi,0.03,0.0548,0.0,1.0,0.0625,0.17,0.0164,0.0,0.0129,0.0,0.0,0.0209
Golgi apparatus,0.0036,0.0078,0.0,0.0625,1.0,0.0758,0.2509,0.0,0.0,0.0,0.0,0.0
intracellular vesicle,0.0186,0.0258,0.0254,0.17,0.0758,1.0,0.0398,0.0,0.0078,0.0,0.0,0.0254
migrasome,0.0033,0.0071,0.0,0.0164,0.2509,0.0398,1.0,0.0,0.0,0.0693,0.0,0.0
mitochondrion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nucleus,0.0026,0.0112,0.0,0.0129,0.0,0.0078,0.0,0.0,1.0,0.0,0.0,0.0
omegasome,0.0,0.0,0.0,0.0,0.0,0.0,0.0693,0.0,0.0,1.0,0.0,0.0
platelet dense tubular netw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vacuole,0.0,0.0182,0.0,0.0209,0.0,0.0254,0.0,0.0,0.0,0.0,0.0,1.0
