organelle,cluster
intracellular mem,3
ocelloid,1
acidocalcisome,1
anammoxosome,1
attachment organe,1
cis-Golgi network,3
endoplasmic retic,3
endoplasmic retic,4
endosperm protein,1
ER body,1
exoneme,1
eyespot apparat,1
Golgi apparatus,3
hydrogenosome,1
intracellular ves,1
karyomere,1
methane-oxidizing,1
microbody,1
microneme,1
mitochondrial der,1
mitochondrion,2
mitosome,1
mononeme,1
nucleomorph,1
nucleus,2
omegasome,1
pirellulosome,1
plastid,1
platelet dense tu,1
polyhydroxyalkano,1
subsynaptic retic,1
vacuole,1
