organelle,cluster
ocelloid,1
acidocalcisome,2
anammoxosome,2
attachment organe,2
cis-Golgi network,4
endoplasmic reticulum,4
endoplasmic reticulum-Golgi intermediate compartment,5
endosperm protein body,2
ER body,2
exoneme,2
eyespot apparat,2
Golgi apparatus,4
hydrogenosome,2
intracellular vesicle,1
karyomere,2
methane-oxidizing organelle,2
microbody,2
microneme,2
mitochondrial derivative,2
mitochondrion,3
mitosome,2
mononeme,2
nucleomorph,1
nucleus,3
omegasome,1
pirellulosome,2
plastid,2
platelet dense tubular network,1
polyhydroxyalkanoate granule,2
subsynaptic reticulum,1
vacuole,2
